Date,VVC-Price,VVC-RT,% Buys,% Sells,BS Ratio,CG-Price,CG-RT,CG-BSR,MTI,Trend
7/10/26,85.057,0.93,,,0.724,Y,Y,Y,1.02,DnUp
7/13/26,84.288,0.91,,,0.612,Y,R,R,0.98,DnDn
7/14/26,84.598,0.92,,,0.643,Y,Y,Y,0.97,DnDn
7/15/26,84.572,0.93,,,0.677,Y,Y,Y,0.96,UpDn
7/16/26,84.362,0.91,,,0.694,R,R,Y,0.95,C/Dn
7/17/26,83.845,0.9,,,0.597,R,R,R,0.91,DnDn
7/20/26,83.466,0.88,,,0.529,R,R,R,0.87,DnDn
7/21/26,84.36,0.91,,,0.653,Y,Y,Y,0.9,DnDn
7/22/26,84.148,0.9,,,0.601,R,R,R,0.9,DnDn
7/23/26,83.762,0.882,12.7,26.5,0.48,R,R,R,0.872,DnDn
